study,instrument,answer_list,value,label,label_de
scp,2021_1,1+99,1,Yes,Ja
scp,2021_1,1+99,2,No,Nein
scp,2021_1,18,0,0 Completely dissatisfied,0 Ganz und gar unzufrieden
scp,2021_1,18,1,1,1
scp,2021_1,18,2,2,2
scp,2021_1,18,3,3,3
scp,2021_1,18,4,4,4
scp,2021_1,18,5,5,5
scp,2021_1,18,6,6,6
scp,2021_1,18,7,7,7
scp,2021_1,18,8,8,8
scp,2021_1,18,9,9,9
scp,2021_1,18,10,10 Completely satisfied,10 Ganz und gar zufrieden
scp,2021_1,20,0,0 Not at all valuable or useful,0 Überhaupt nicht wertvoll und nützlich
scp,2021_1,20,1,1,1
scp,2021_1,20,2,2,2
scp,2021_1,20,3,3,3
scp,2021_1,20,4,4,4
scp,2021_1,20,5,5,5
scp,2021_1,20,6,6,6
scp,2021_1,20,7,7,7
scp,2021_1,20,8,8,8
scp,2021_1,20,9,9,9
scp,2021_1,20,10,10 Completely valuable and useful,10 Vollkommen wertvoll und nützlich
scp,2021_1,27,1,Married,Verheiratet
scp,2021_1,27,2,Registered same-sex partnership,Eingetragene gleichgeschlechtliche Partnerschaft
scp,2021_1,27,3,"Single, I’ve never been married",Ledig (war nie verheiratet)
scp,2021_1,27,4,Divorced,Geschieden
scp,2021_1,27,5,Registered same-sex partnership annulled,Eingetragene gleichgeschlechtliche Partnerschaft aufgehoben
scp,2021_1,27,6,Widowed,Verwitwet
scp,2021_1,27,7,Life partner from registered same-sex partnership deceased,Lebenspartner/-in aus eingetragener gleichgeschlechtlicher Partnerschaft verstorben
scp,2021_1,62,1,In Germany,In Deutschland
scp,2021_1,62,2,In another country,In einem anderen Land
scp,2021_1,82,1,Permanent contract,Unbefristeten Arbeitsvertrag
scp,2021_1,82,2,Fixed-term contract,Befristetes Arbeitsverhältnis
scp,2021_1,82,3,Not applicable/do not have an employment contract,Trifft nicht zu/habe keinen Arbeitsvertrag
scp,2021_1,147,1,Disagree completely,Stimme überhaupt nicht zu
scp,2021_1,147,2,Disagree,Stimme eher nicht zu
scp,2021_1,147,3,Neither agree nor disagree,Teils-teils
scp,2021_1,147,4,Agree,Stimme eher zu
scp,2021_1,147,5,Agree completely,Stimme voll und ganz zu
scp,2021_1,211,1,Male,Männlich
scp,2021_1,211,2,Female,Weiblich
scp,2021_1,211,3,Diverse,Divers
scp,2021_1,216,1,Not at all,Überhaupt nicht
scp,2021_1,216,2,Rather not,Eher nicht
scp,2021_1,216,3,In Part,Teils-teils
scp,2021_1,216,4,Rather so,Eher schon
scp,2021_1,216,5,Totally,Voll und ganz
scp,2021_1,217,1,Not at all worried,Überhaupt nicht besorgt
scp,2021_1,217,2,Not very worried,Nicht sehr besorgt
scp,2021_1,217,3,Somewhat worried,Etwas besorgt
scp,2021_1,217,4,Very worried,Sehr besorgt
scp,2021_1,217,5,Extremely worried,Äußerst besorgt
scp,2021_1,218,1,Not at all convinced,Überhaupt nicht überzeugt
scp,2021_1,218,2,Not too convinced,Wenig überzeugt
scp,2021_1,218,3,In Part,Teils-teils
scp,2021_1,218,4,Somewhat convinced,Ziemlich überzeugt
scp,2021_1,218,5,Very convinced,Voll und ganz überzeugt
scp,2021_1,220,1,Very unlikely,Sehr unwahrscheinlich
scp,2021_1,220,2,Rather unlikely,Eher unwahrscheinlich
scp,2021_1,220,3,Rather likely,Eher wahrscheinlich
scp,2021_1,220,4,Very likely,Sehr wahrscheinlich
scp,2021_1,221,0,0 No trust at all,0 Vertraue überhaupt nicht
scp,2021_1,221,1,1,1
scp,2021_1,221,2,2,2
scp,2021_1,221,3,3,3
scp,2021_1,221,4,4,4
scp,2021_1,221,5,5,5
scp,2021_1,221,6,6,6
scp,2021_1,221,7,7,7
scp,2021_1,221,8,8,8
scp,2021_1,221,9,9,9
scp,2021_1,221,10,10 Complete trust,10 Vertraue voll und ganz
scp,2021_1,222,0,0 You can’t be too careful,0 Man kann nicht vorsichtig genug sein
scp,2021_1,222,1,1,1
scp,2021_1,222,2,2,2
scp,2021_1,222,3,3,3
scp,2021_1,222,4,4,4
scp,2021_1,222,5,5,5
scp,2021_1,222,6,6,6
scp,2021_1,222,7,7,7
scp,2021_1,222,8,8,8
scp,2021_1,222,9,9,9
scp,2021_1,222,10,10 Most people can be trusted,10 Den meisten Menschen kann man vertrauen
scp,2021_1,224,1,Very much less than my fair share,Viel weniger als meinen gerechten Anteil
scp,2021_1,224,2,Somewhat less than my fair share,Etwas weniger als meinen gerechten Anteil
scp,2021_1,224,3,My fair share,Meinen gerechten Anteil
scp,2021_1,224,4,Somewhat more than my fair share,Etwas mehr als meinen gerechten Anteil
scp,2021_1,224,5,Very much more than my fair share,Viel mehr als meinen gerechten Anteil
scp,2021_1,225,0,0 Very unlikeable,0 Sehr unsympathisch
scp,2021_1,225,1,1,1
scp,2021_1,225,2,2,2
scp,2021_1,225,3,3,3
scp,2021_1,225,4,4,4
scp,2021_1,225,5,5,5
scp,2021_1,225,6,6,6
scp,2021_1,225,7,7,7
scp,2021_1,225,8,8,8
scp,2021_1,225,9,9,9
scp,2021_1,225,10,10 Very likeable,10 Sehr sympathisch
scp,2021_1,226,1,None,Keiner
scp,2021_1,226,2,Very few of them,Wenige von ihnen
scp,2021_1,226,3,Several of them,Einige von ihnen
scp,2021_1,226,4,Many of them,Viele von ihnen
scp,2021_1,226,5,Most of them,Die meisten
scp,2021_1,226,6,All of them,Alle
scp,2021_1,226,7,Don’t know,Weiß nicht
scp,2021_1,227,1,Never,Nie
scp,2021_1,227,2,Seldom,Selten
scp,2021_1,227,3,Sometimes,Manchmal
scp,2021_1,227,4,Often,Oft
scp,2021_1,227,5,Always,Immer
scp,2021_1,227_1,1,Never,Nie
scp,2021_1,227_1,2,Seldom,Selten
scp,2021_1,227_1,3,Sometimes,Manchmal
scp,2021_1,227_1,4,Often,Oft
scp,2021_1,227_1,5,Always,Immer
scp,2021_1,227_1,6,I don‘t work,Habe keine Arbeit
scp,2021_1,228,0,0 Entirely left,0 Ganz links
scp,2021_1,228,1,1,1
scp,2021_1,228,2,2,2
scp,2021_1,228,3,3,3
scp,2021_1,228,4,4,4
scp,2021_1,228,5,5,5
scp,2021_1,228,6,6,6
scp,2021_1,228,7,7,7
scp,2021_1,228,8,8,8
scp,2021_1,228,9,9,9
scp,2021_1,228,10,10 Entirely right,10 Ganz rechts
